Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,778.8099980000001,789.630005,775.799988,786.1400150000001,786.1400150000001,1657300
2017-01-04,788.3599849999999,791.340027,783.159973,786.900024,786.900024,1073000
2017-01-05,786.080017,794.47998,785.02002,794.02002,794.02002,1335200
2017-01-06,795.26001,807.900024,792.203979,806.150024,806.150024,1640200
2017-01-09,806.400024,809.966003,802.830017,806.650024,806.650024,1272400
2017-01-10,807.8599849999999,809.130005,803.51001,804.789978,804.789978,1176800
2017-01-11,805.0,808.150024,801.369995,807.909973,807.909973,1065900
2017-01-12,807.1400150000001,807.3900150000001,799.169983,806.3599849999999,806.3599849999999,1353100
2017-01-13,807.47998,811.223999,806.6900019999999,807.880005,807.880005,1099200
2017-01-17,807.080017,807.1400150000001,800.369995,804.6099849999999,804.6099849999999,1355800
2017-01-18,805.8099980000001,806.205017,800.98999,806.070007,806.070007,1294400
2017-01-19,805.119995,809.47998,801.799988,802.174988,802.174988,919300
2017-01-20,806.909973,806.909973,801.6900019999999,805.02002,805.02002,1670000
2017-01-23,807.25,820.869995,803.73999,819.3099980000001,819.3099980000001,1963600
2017-01-24,822.299988,825.900024,817.820984,823.869995,823.869995,1474000
2017-01-25,829.619995,835.77002,825.0599980000001,835.669983,835.669983,1494500
2017-01-26,837.8099980000001,838.0,827.01001,832.150024,832.150024,2973900
2017-01-27,834.710022,841.9500119999999,820.4400019999999,823.3099980000001,823.3099980000001,2965800
2017-01-30,814.659973,815.840027,799.799988,802.320007,802.320007,3246600
2017-01-31,796.8599849999999,801.25,790.52002,796.789978,796.789978,2160600
2017-02-01,799.679993,801.1900019999999,791.1900019999999,795.695007,795.695007,2029700
